Vd,Vg,Id,
1.9,-0.8,0.0006611,-1.09E-008
1.9,-0.7,0.002585,-9.69E-009
1.9,-0.6,0.006293,-0.000000006
1.9,-0.5,0.01132,-3.23E-009
1.9,-0.4,0.01704,-1.5E-009
1.9,-0.3,0.023,-8.78E-010
1.9,-0.2,0.02909,-2.74E-010
1.9,-0.1,0.03518,-3.4E-010
1.9,0,0.04124,-1.53E-010
2,-1.8,4.33E-008,-5.22E-008
2,-1.7,3.78E-008,-4.39E-008
2,-1.6,3.33E-008,-3.84E-008
2,-1.5,2.98E-008,-3.35E-008
2,-1.4,2.64E-008,-2.94E-008
2,-1.3,0.000000024,-2.53E-008
2,-1.2,3.69E-008,-0.000000022
2,-1.1,0.000000379,-1.87E-008
2,-1,0.00000687,-1.62E-008
2,-0.9,0.0000971,-1.43E-008
2,-0.8,0.0007222,-1.26E-008
2,-0.7,0.00277,-9.76E-009
2,-0.6,0.006572,-7.26E-009
2,-0.5,0.01165,-4.15E-009
2,-0.4,0.01735,-1.82E-009
2,-0.3,0.02327,-7.6E-010
2,-0.2,0.02928,-3.92E-010
2,-0.1,0.03534,-3.41E-010
2,0,0.04138,-1.17E-010
2.1,-1.8,4.69E-008,-5.64E-008
2.1,-1.7,4.11E-008,-4.74E-008
2.1,-1.6,3.63E-008,-4.14E-008
2.1,-1.5,3.21E-008,-0.000000036
2.1,-1.4,2.85E-008,-3.15E-008
2.1,-1.3,2.61E-008,-2.76E-008
2.1,-1.2,4.07E-008,-0.000000024
2.1,-1.1,0.000000495,-2.07E-008
2.1,-1,0.00000836,-1.75E-008
2.1,-0.9,0.0001075,-1.52E-008
2.1,-0.8,0.0007514,-1.33E-008
2.1,-0.7,0.002893,-1.17E-008
2.1,-0.6,0.006792,-8.56E-009
2.1,-0.5,0.0119,-4.38E-009
2.1,-0.4,0.01762,-2.06E-009
2.1,-0.3,0.02349,-1.06E-009
2.1,-0.2,0.02945,-3.85E-010
2.1,-0.1,0.03549,-2.85E-010
2.1,0,0.04146,-8.12E-011
2.2,-1.8,5.03E-008,-5.99E-008
2.2,-1.7,4.41E-008,-5.03E-008
2.2,-1.6,0.00000004,-4.49E-008
2.2,-1.5,0.000000035,-3.92E-008
2.2,-1.4,3.15E-008,-3.45E-008
2.2,-1.3,2.87E-008,-0.00000003
2.2,-1.2,4.94E-008,-0.000000026
2.2,-1.1,0.000000563,-2.28E-008
2.2,-1,0.00000937,-1.94E-008
2.2,-0.9,0.0001486,-1.65E-008
2.2,-0.8,0.0008203,-0.000000015
2.2,-0.7,0.003076,-1.31E-008
2.2,-0.6,0.007048,-9.05E-009
2.2,-0.5,0.01222,-6.06E-009
2.2,-0.4,0.0179,-2.52E-009
2.2,-0.3,0.02372,-1.16E-009
2.2,-0.2,0.02963,-4.49E-010
2.2,-0.1,0.03562,-2.88E-010
2.2,0,0.04156,-1.68E-010
2.3,-1.8,5.43E-008,-6.39E-008
2.3,-1.7,4.77E-008,-5.42E-008
2.3,-1.6,4.22E-008,-4.73E-008
2.3,-1.5,3.76E-008,-4.17E-008
2.3,-1.4,3.38E-008,-3.66E-008
2.3,-1.3,3.17E-008,-3.27E-008
2.3,-1.2,5.47E-008,-2.83E-008
2.3,-1.1,0.000000716,-2.45E-008
2.3,-1,0.0000129,-0.000000021
2.3,-0.9,0.0001287,-1.85E-008
2.3,-0.8,0.0008813,-1.71E-008
2.3,-0.7,0.003268,-1.47E-008
2.3,-0.6,0.007289,-1.05E-008
2.3,-0.5,0.01247,-6.26E-009
2.3,-0.4,0.01815,-3.07E-009
2.3,-0.3,0.02395,-1.33E-009
2.3,-0.2,0.0298,-4.73E-010
2.3,-0.1,0.03574,-4.1E-010
2.3,0,0.04166,-1.98E-010
2.4,-1.8,5.88E-008,-6.85E-008
2.4,-1.7,5.17E-008,-5.77E-008
2.4,-1.6,4.57E-008,-5.08E-008
2.4,-1.5,4.09E-008,-4.46E-008
2.4,-1.4,3.64E-008,-3.97E-008
2.4,-1.3,3.37E-008,-3.47E-008
2.4,-1.2,6.23E-008,-3.06E-008
2.4,-1.1,0.000000756,-2.64E-008
2.4,-1,0.0000161,-2.31E-008
2.4,-0.9,0.0001519,-2.04E-008
2.4,-0.8,0.0009608,-1.94E-008
2.4,-0.7,0.003441,-1.69E-008
2.4,-0.6,0.007519,-1.22E-008
2.4,-0.5,0.01272,-7.75E-009
2.4,-0.4,0.01839,-3.64E-009
2.4,-0.3,0.02418,-1.37E-009
2.4,-0.2,0.02996,-5.9E-010
2.4,-0.1,0.03586,-4.57E-010
2.4,0,0.04176,-1.93E-010
2.5,-1.8,6.32E-008,-7.31E-008
2.5,-1.7,5.57E-008,-6.22E-008
2.5,-1.6,4.94E-008,-5.48E-008
2.5,-1.5,4.41E-008,-0.000000048
2.5,-1.4,3.96E-008,-4.26E-008
2.5,-1.3,3.68E-008,-3.75E-008
2.5,-1.2,6.79E-008,-3.28E-008
2.5,-1.1,0.000000798,-2.83E-008
2.5,-1,0.0000142,-2.46E-008
2.5,-0.9,0.0001542,-0.000000022
2.5,-0.8,0.0010484,-2.19E-008
2.5,-0.7,0.003583,-1.94E-008
2.5,-0.6,0.007723,-1.41E-008
2.5,-0.5,0.01295,-9.38E-009
2.5,-0.4,0.01861,-4.22E-009
2.5,-0.3,0.02438,-1.78E-009
2.5,-0.2,0.03014,-7.92E-010
2.5,-0.1,0.03601,-2.41E-010
2.5,0,0.04184,-4.21E-010
2.6,-1.8,6.85E-008,-7.87E-008
2.6,-1.7,0.00000006,-6.64E-008
2.6,-1.6,5.36E-008,-5.84E-008
2.6,-1.5,4.77E-008,-5.17E-008
2.6,-1.4,4.29E-008,-4.56E-008
2.6,-1.3,4.02E-008,-4.04E-008
2.6,-1.2,8.14E-008,-3.49E-008
2.6,-1.1,0.000000999,-3.08E-008
2.6,-1,0.0000173,-0.000000027
2.6,-0.9,0.0001813,-2.47E-008
2.6,-0.8,0.0011252,-2.54E-008
2.6,-0.7,0.003748,-2.26E-008
2.6,-0.6,0.007922,-1.63E-008
2.6,-0.5,0.01315,-1.01E-008
2.6,-0.4,0.01882,-5.18E-009
2.6,-0.3,0.02456,-0.000000002
2.6,-0.2,0.0303,-7.56E-010
2.6,-0.1,0.0361,-5.73E-010
2.6,0,0.04193,-2.99E-010
2.7,-1.8,7.28E-008,-8.32E-008
2.7,-1.7,6.53E-008,-0.000000072
2.7,-1.6,5.76E-008,-6.33E-008
2.7,-1.5,5.19E-008,-5.57E-008
2.7,-1.4,4.63E-008,-4.93E-008
2.7,-1.3,4.38E-008,-4.32E-008
2.7,-1.2,8.58E-008,-3.85E-008
2.7,-1.1,0.00000125,-3.32E-008
2.7,-1,0.0000186,-2.82E-008
2.7,-0.9,0.0001962,-2.66E-008
2.7,-0.8,0.001173,-2.71E-008
2.7,-0.7,0.003805,-2.48E-008
2.7,-0.6,0.008079,-1.92E-008
2.7,-0.5,0.01332,-1.12E-008
2.7,-0.4,0.01898,-5.85E-009
2.7,-0.3,0.02472,-2.26E-009
2.7,-0.2,0.03043,-0.000000001
2.7,-0.1,0.03623,-4.82E-010
2.7,0,0.042,-6E-010
2.8,-1.8,7.83E-008,-8.89E-008
2.8,-1.7,0.000000069,-7.56E-008
2.8,-1.6,6.16E-008,-6.64E-008
2.8,-1.5,5.53E-008,-6.04E-008
2.8,-1.4,5.04E-008,-5.34E-008
2.8,-1.3,4.77E-008,-4.64E-008
2.8,-1.2,0.000000112,-4.09E-008
2.8,-1.1,0.00000122,-3.59E-008
2.8,-1,0.0000195,-0.000000031
2.8,-0.9,0.0002295,-3.03E-008
2.8,-0.8,0.001272,-0.000000031
2.8,-0.7,0.003975,-2.82E-008
2.8,-0.6,0.008257,-0.000000021
2.8,-0.5,0.01354,-1.32E-008
